1,apple,mollë
1,cherry,qershi
1,grape,rrush
1,strawberry,luleshtrydhe
1,green,jeshile
1,yellow,e verdhë
1,red,i kuq
1,blue,blu
2,banana,banane
2,lemon,limon
2,orange,portokalli
2,tomato,domate
2,orange,portokalli
2,white,e bardhë
2,black,i zi
2,purple,vjollcë
3,tree,pemë
3,flower,lule
3,seed,farë
3,leaf,gjethe
3,big,i madh
3,small,i vogël
3,short,i shkurtër
3,tall,i gjatë
4,and,dhe
5,fruit,fruta
5,pineapple,ananas
6,watermelon,shalqi
6,grass,bar
6,plant,bimë
6,brown,kafe
6,gray/ grey,gri/ gri
7,long,i gjatë
7,wide,i gjerë
7,thin,i hollë
7,soft,i butë
8,clean,i pastër
8,dirty,i ndyrë
8,wet,i lagësht
8,dry,i thatë
9,building,ndërtesë
9,bridge,urë
9,city,qytet
9,house,shtëpi
9,street,rrugë
9,tower,kullë
9,hotel,hotel
9,airport,aeroport
10,beach,plazh
10,cloud,re
10,forest,pyll
10,mountain,mal
10,bright,i ndritshëm
10,dark,errësirë
10,loud,me zë të lartë
10,quiet,i qetë
11,bed,shtrat
11,chair,karrige
11,door,derë
11,room,dhomë
11,flat,i sheshtë
11,heavy,i rëndë
11,hard,i vështirë
11,ugly,i shëmtuar
12,very,shumë
14,This,Kjo
15,That,Kjo
16,These,Këto
16,Those,Ato
18,delicious,i shijshëm
18,sour,i thartë
18,spicy,pikant
18,sweet,i ëmbël
19,cat,mace
19,dog,qen
19,mouse,miu
19,rabbit,lepur
20,"not, is not","jo, nuk është"
22,knife,thikë
22,fork,pirun
22,spoon,lugë
22,table,tavolinë
23,Sharp,I mprehtë
23,dull,i shurdhër
24,on,në
27,ant,milingonë
27,butterfly,flutur
27,beautiful,i bukur
29,want (verb),dua (folje)
29,I,Unë
29,You,Ti
29,He,Ai
29,She,Ajo
32,ring,unazë
32,shirt,këmishë
32,pillow,jastëk
32,silver,argjend
33,gold,ari
35,egg,vezë
